date,cereals_price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price,target_pct_change,lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15
1995-02,62.5,1.7452380952380953,9.583333333333334,62.9,62.7,61.1,57.5,66.8,62.2,-0.4799999999999954,0.0,0.0,0.0,0.0,0.6546325,0.0,0.0,0.5619195,0.0,0.46113646,0.0,0.0,0.0,1.0956762,0.11920176,0.0
1995-03,62.2,1.5451612903225809,14.055913978494624,62.5,62.9,62.7,60.2,64.1,62.7,0.8038585209003215,0.0,0.0,0.0,0.0,0.34779954,0.0,0.0,0.44459242,0.0,0.54368377,0.0,0.0,0.0,1.162818,0.14220297,0.037685134
1995-04,62.7,2.7111111111111112,19.628888888888888,62.2,62.5,62.9,61.7,62.4,64.9,3.508771929824566,0.0,0.0,0.0,0.0,0.15085122,0.0,0.0,0.38339904,0.009896968,0.60978216,0.0,0.0,0.0,1.1818608,0.14360973,0.12601954
1995-05,64.9,2.63010752688172,26.2247311827957,62.7,62.2,62.5,61.1,62.0,69.1,6.471494607087809,0.0,0.0,0.0,0.0,0.20343398,0.0,0.0,0.41343334,0.037723105,0.5977678,0.0,0.0,0.0,1.1349261,0.1107577,0.10043868
1995-06,69.1,3.651111111111111,30.371111111111112,64.9,62.7,62.2,62.7,60.1,74.0,7.091172214182354,0.0,0.0,0.0,0.0,0.31585407,0.0,0.0,0.47241122,0.044132214,0.5764059,0.0,0.0,0.0,1.0792143,0.06799526,0.059861563
1995-07,74.0,3.747311827956989,29.28924731182796,69.1,64.9,62.7,62.9,56.0,72.6,-1.8918918918919,0.0,0.0,0.0,0.0,0.8091182,0.0,0.0,0.66498935,0.0,0.43161067,0.0,0.0,0.0,0.9010189,0.0,0.0
1995-08,72.6,5.148387096774194,28.39462365591397,74.0,69.1,64.9,62.5,57.5,75.9,4.545454545454562,0.0,0.0,0.48578697,0.0,1.8129988,0.0,0.0,1.0429169,0.0,0.118915856,0.0,0.0,0.0,0.511707,0.0,0.0
1995-09,75.9,5.21,24.37333333333333,72.6,74.0,69.1,62.2,60.2,80.2,5.665349143610008,0.0,0.0,0.978892,0.0,2.7122772,0.0,0.0,1.3821672,0.0,0.0,0.0,0.0,0.0,0.15827549,0.0,0.0
1995-10,80.2,0.6473118279569893,20.204301075268816,75.9,72.6,74.0,62.7,61.7,80.5,0.3740648379052333,0.0,0.0,0.966822,0.0,2.796828,0.0,0.0,1.4457152,0.0,0.0,0.0,0.0,0.0,0.19411734,0.0,0.0
1995-11,80.5,1.0422222222222222,11.43777777777778,80.2,75.9,72.6,64.9,61.1,82.7,2.732919254658389,0.0,0.0,0.6340267,0.0,2.2777803,0.0,0.0,1.2626996,0.0,0.03563523,0.0,0.0,0.0,0.4700107,0.0,0.0
1995-12,82.7,0.5182795698924731,6.006451612903226,80.5,80.2,75.9,69.1,62.7,83.3,0.7255139056831853,0.0,0.0,0.1992988,0.0,1.5356768,0.0,0.0,0.9519551,0.0,0.26455355,0.0,0.0,0.0,0.7978219,0.013704553,0.0
1996-01,83.3,1.4946236559139785,2.881720430107527,82.7,80.5,80.2,74.0,62.9,85.7,2.8811524609844006,0.0,0.0,0.0,0.0,0.8572515,0.0,0.0,0.65677446,0.0,0.43791482,0.0,0.0,0.0,1.0390612,0.096453406,0.0
1996-02,85.7,2.2264367816091952,6.072413793103448,83.3,82.7,80.5,72.6,62.5,86.9,1.400233372228708,0.0,0.0,0.0,0.0,0.39124566,0.0,0.0,0.46411887,0.0,0.5512123,0.0,0.0,0.0,1.160274,0.14589673,0.041271023
1996-03,86.9,1.3774193548387097,11.132258064516128,85.7,83.3,82.7,75.9,62.2,95.3,9.666283084004592,0.0,0.0,0.0,0.0,0.15004869,0.0,0.0,0.37515643,0.0,0.61194533,0.0,0.0,0.0,1.188021,0.15768072,0.13563174
1996-04,95.3,1.3477777777777775,21.116666666666667,86.9,85.7,83.3,80.2,62.7,100.0,4.93179433368311,0.0,0.0,0.0,0.0,0.019984867,0.0,0.0,0.33394477,0.04425708,0.6458252,0.0,0.0,0.0,1.1713449,0.14737085,0.18663353
1996-05,100.0,3.8623655913978494,27.053763440860216,95.3,86.9,85.7,80.5,64.9,94.3,-5.700000000000003,0.0,0.0,0.0,0.0,0.07590105,0.0,0.0,0.35562217,0.08039631,0.62180406,0.0,0.0,0.0,1.0947046,0.1036584,0.13630348
1996-06,94.3,3.921111111111111,28.50111111111111,100.0,95.3,86.9,82.7,69.1,91.1,-3.3934252386002157,0.0,0.0,0.0,0.0,0.3017591,0.0,0.0,0.44481713,0.077362075,0.5547037,0.0,0.0,0.0,0.9616517,0.028335117,0.0172466
1996-07,91.1,3.0204301075268813,28.53333333333333,94.3,100.0,95.3,83.3,74.0,85.8,-5.817782656421512,0.0,0.0,0.063654914,0.0,0.95088196,0.0,0.0,0.6756147,0.0,0.34761786,0.0,0.0,0.0,0.6435303,0.0,0.0
1996-08,85.8,4.034408602150537,27.277419354838717,91.1,94.3,100.0,85.7,72.6,75.3,-12.237762237762238,0.0,0.0,0.72145253,0.0,1.9930443,0.0,0.0,1.0347146,0.0,0.021570802,0.0,0.0,0.0,0.1455139,0.0,0.0
1996-09,75.3,2.9488888888888884,22.76555555555556,85.8,91.1,94.3,86.9,75.9,71.1,-5.577689243027892,0.0,0.0,1.3708452,0.0,3.0111406,0.0,0.0,1.3039147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-10,71.1,1.189247311827957,19.77096774193549,75.3,85.8,91.1,95.3,80.2,67.4,-5.203938115330504,0.0,0.0,1.5413854,0.0,3.3302221,0.0,0.0,1.373105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-11,67.4,1.3633333333333333,13.23111111111111,71.1,75.3,85.8,100.0,80.5,67.6,0.2967359050444935,0.0,0.0,1.3076972,0.0,3.1807144,0.0,0.0,1.4371238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-12,67.6,0.4612903225806452,6.369892473118279,67.4,71.1,75.3,94.3,82.7,68.1,0.7396449704142012,0.0,0.0,1.0253096,0.0,2.8116388,0.0,0.0,1.3580886,0.0,0.0,0.0,0.0,0.0,0.062346444,0.0,0.0
1997-01,68.1,0.7365591397849462,3.806451612903226,67.6,67.4,71.1,91.1,83.3,68.4,0.4405286343612501,0.0,0.0,0.5863657,0.0,2.0899413,0.0,0.0,1.1061895,0.0,0.05475929,0.0,0.0,0.0,0.44738004,0.0,0.0
1997-02,68.4,1.2238095238095237,8.132142857142858,68.1,67.6,67.4,85.8,85.7,70.6,3.216374269005831,0.0,0.0,0.22868645,0.0,1.4491738,0.0,0.0,0.8469199,0.0,0.22194791,0.0,0.0,0.0,0.7154745,0.037986636,0.0
1997-03,70.6,1.0161290322580645,14.363440860215054,68.4,68.1,67.6,75.3,86.9,70.8,0.283286118980174,0.0,0.0,0.033053733,0.0,1.0618334,0.0,0.0,0.6845507,0.0,0.30704,0.0,0.0,0.0,0.83302647,0.053856216,0.0
1997-04,70.8,3.232222222222222,17.647777777777776,70.6,68.4,68.1,71.1,95.3,68.8,-2.824858757062147,0.0,0.0,0.0,0.0,0.6849618,0.0,0.0,0.543949,0.0,0.41061243,0.0,0.0,0.0,0.93029475,0.058232896,0.0
1997-05,68.8,2.3806451612903228,25.017204301075267,70.8,70.6,68.4,67.4,100.0,65.2,-5.232558139534875,0.0,0.0,0.0,0.0,0.5155478,0.0,0.0,0.4967043,0.0,0.47365233,0.0,0.0,0.0,0.9530288,0.04348159,0.0
1997-06,65.2,3.5188888888888887,28.612222222222226,68.8,70.8,70.6,67.6,94.3,62.4,-4.294478527607368,0.0,0.0,0.050491035,0.0,0.948201,0.0,0.0,0.6532665,0.0,0.3339744,0.0,0.0,0.0,0.7323037,0.0,0.0
1997-07,62.4,5.453763440860215,28.353763440860217,65.2,68.8,70.8,68.1,91.1,65.7,5.288461538461545,0.0,0.0,0.554296,0.0,1.757546,0.0,0.0,0.95068896,0.0,0.08006148,0.0,0.0,0.0,0.3636604,0.0,0.0
1997-08,65.7,4.963440860215054,26.670967741935485,62.4,65.2,68.8,68.4,85.8,65.1,-0.913242009132433,0.0,0.0,0.918141,0.0,2.427138,0.0,0.0,1.215919,0.0,0.0,0.0,0.0,0.0,0.10714957,0.0,0.0
1997-09,65.1,2.328888888888889,23.892222222222223,65.7,62.4,65.2,70.6,75.3,65.6,0.7680491551459294,0.0,0.0,1.254861,0.0,3.0757468,0.0,0.0,1.4450837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-10,65.6,2.5150537634408603,18.14301075268817,65.1,65.7,62.4,70.8,71.1,64.2,-2.134146341463402,0.0,0.0,1.2517024,0.0,3.1839602,0.0,0.0,1.5122406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-11,64.2,1.4855555555555555,11.41,65.6,65.1,65.7,68.8,67.4,63.4,-1.2461059190031218,0.0,0.0,0.9256357,0.0,2.7308898,0.0,0.0,1.4013009,0.0,0.0,0.0,0.0,0.0,0.21336532,0.0,0.0
1997-12,63.4,1.524731182795699,5.431182795698924,64.2,65.6,65.1,65.2,67.6,62.7,-1.104100946372233,0.0,0.0,0.5059169,0.0,2.0452557,0.0,0.0,1.1438987,0.0,0.10773581,0.0,0.0,0.0,0.55926156,0.0,0.0
1998-01,62.7,0.6021505376344086,6.49247311827957,63.4,64.2,65.6,62.4,68.1,62.7,0.0,0.0,0.0,0.0,0.0,1.1622769,0.0,0.0,0.7785835,0.0,0.358999,0.0,0.0,0.0,0.92458105,0.06840728,0.0
1998-02,62.7,2.011904761904762,10.275,62.7,63.4,64.2,65.7,68.4,63.2,0.7974481658692184,0.0,0.0,0.0,0.0,0.5336698,0.0,0.0,0.51998764,0.0,0.5179243,0.0,0.0,0.0,1.1221361,0.13272664,0.0
1998-03,63.2,3.567741935483871,10.78494623655914,62.7,62.7,63.4,65.1,70.6,60.8,-3.797468354430389,0.0,0.0,0.0,0.0,0.21949817,0.0,0.0,0.4055971,0.0,0.6029529,0.0,0.0,0.0,1.1892085,0.15558252,0.114308484
1998-04,60.8,2.583333333333333,21.317777777777778,63.2,62.7,62.7,65.6,70.8,60.2,-0.9868421052631486,0.0,0.0,0.0,0.0,0.054542072,0.0,0.0,0.36092174,0.0120918825,0.6573861,0.0,0.0,0.0,1.2072417,0.15781856,0.1978358
1998-05,60.2,1.938709677419355,27.48494623655914,60.8,63.2,62.7,64.2,68.8,59.0,-1.9933554817275796,0.0,0.0,0.0,0.0,0.10961649,0.0,0.0,0.39306968,0.03847759,0.64450437,0.0,0.0,0.0,1.1689153,0.13149455,0.17193323
1998-06,59.0,3.102222222222222,29.58888888888889,60.2,60.8,63.2,63.4,65.2,57.5,-2.5423728813559325,0.0,0.0,0.0,0.0,0.2282305,0.0,0.0,0.45156392,0.043366518,0.6178819,0.0,0.0,0.0,1.1170868,0.09320364,0.12314547
1998-07,57.5,6.889247311827957,28.718279569892477,59.0,60.2,60.8,62.7,62.4,54.1,-5.9130434782608665,0.0,0.0,0.0,0.0,0.5698286,0.0,0.0,0.59011257,0.0,0.5249625,0.0,0.0,0.0,1.0035067,0.021778401,0.0
1998-08,54.1,3.3591397849462368,28.072043010752687,57.5,59.0,60.2,62.7,65.7,53.9,-0.3696857670979719,0.0,0.0,0.22177392,0.0,1.4618262,0.0,0.0,0.943214,0.0,0.27120236,0.0,0.0,0.0,0.6982252,0.0,0.0
1998-09,53.9,2.473333333333333,25.98777777777778,54.1,57.5,59.0,63.2,65.1,57.7,7.050092764378486,0.0,0.0,0.7031792,0.0,2.3254144,0.0,0.0,1.2803998,0.0,0.009677694,0.0,0.0,0.0,0.37097865,0.0,0.0
1998-10,57.7,2.6247311827956987,19.616129032258065,53.9,54.1,57.5,60.8,65.6,58.2,0.8665511265164645,0.0,0.0,0.60427505,0.0,2.2269843,0.0,0.0,1.2590266,0.0,0.06501572,0.0,0.0,0.0,0.47136208,0.0,0.0
1998-11,58.2,1.3666666666666667,12.387777777777778,57.7,53.9,54.1,60.2,64.2,56.8,-2.4054982817869512,0.0,0.0,0.38324672,0.0,1.8864225,0.0,0.0,1.121204,0.0,0.18374048,0.0,0.0,0.0,0.6615235,0.0,0.0
1998-12,56.8,0.2376344086021505,7.183870967741936,58.2,57.7,53.9,59.0,63.4,57.1,0.5281690140845146,0.0,0.0,0.0050938018,0.0,1.2358061,0.0,0.0,0.8366987,0.0,0.36630973,0.0,0.0,0.0,0.93686706,0.042233013,0.0
1999-01,57.1,1.6795698924731182,4.703225806451614,56.8,58.2,57.7,57.5,62.7,54.9,-3.8528896672504422,0.0,0.0,0.0,0.0,0.6584308,0.0,0.0,0.58203214,0.0,0.5044231,0.0,0.0,0.0,1.1277696,0.12018863,0.0
1999-02,54.9,1.0035714285714286,10.003571428571428,57.1,56.8,58.2,54.1,62.7,55.2,0.5464480874317018,0.0,0.0,0.0,0.0,0.21958995,0.0,0.0,0.40759814,0.0,0.6180334,0.0,0.0,0.0,1.231344,0.16556567,0.12352242
1999-03,55.2,1.0516129032258064,14.546236559139784,54.9,57.1,56.8,53.9,63.2,53.7,-2.717391304347826,0.0,0.0,0.0,0.0,0.03776849,0.0,0.0,0.34382495,0.0,0.6626272,0.0,0.0,0.0,1.2496327,0.17605165,0.20088351
1999-04,53.7,2.6211111111111114,23.232222222222223,55.2,54.9,57.1,57.7,60.8,52.8,-1.6759776536312954,0.0,0.0,0.0,0.0,0.004195329,0.0,0.0,0.33676615,0.010380559,0.6643778,0.0,0.0,0.0,1.233776,0.16876605,0.20920894
1999-05,52.8,2.817204301075269,25.65806451612903,53.7,55.2,54.9,58.2,60.2,53.6,1.5151515151515234,0.0,0.0,0.0,0.0,0.05368615,0.0,0.0,0.36979398,0.037607346,0.6539329,0.0,0.0,0.0,1.2005183,0.14377528,0.18678224
1999-06,53.6,1.856666666666667,30.185555555555556,52.8,53.7,55.2,56.8,59.0,51.4,-4.104477611940303,0.0,0.0,0.0,0.0,0.16614133,0.0,0.0,0.4293687,0.04548752,0.6309508,0.0,0.0,0.0,1.1548704,0.106852986,0.14537948
1999-07,51.4,3.134408602150537,30.96021505376344,53.6,52.8,53.7,57.1,57.5,53.0,3.1128404669260727,0.0,0.0,0.0,0.0,0.45128903,0.0,0.0,0.5453923,0.012273833,0.5511921,0.0,0.0,0.0,1.0595676,0.039988853,0.02537506
1999-08,53.0,2.974193548387097,28.10430107526881,51.4,53.6,52.8,54.9,54.1,52.6,-0.7547169811320728,0.0,0.0,0.30025718,0.0,1.5162377,0.0,0.0,0.9416082,0.0,0.21331614,0.0,0.0,0.0,0.67268896,0.0,0.0
1999-09,52.6,1.4477777777777778,25.56111111111111,53.0,51.4,53.6,55.2,53.9,51.5,-2.0912547528517136,0.0,0.0,0.6710683,0.0,2.192476,0.0,0.0,1.2123132,0.0,0.007056944,0.0,0.0,0.0,0.4243161,0.0,0.0
1999-10,51.5,0.6279569892473118,20.97741935483871,52.6,53.0,51.4,53.7,57.7,51.3,-0.3883495145631123,0.0,0.0,0.7276005,0.0,2.339093,0.0,0.0,1.2775176,0.0,0.0,0.0,0.0,0.0,0.40008867,0.0,0.0
1999-11,51.3,1.3355555555555556,14.795555555555554,51.5,52.6,53.0,52.8,58.2,50.4,-1.7543859649122782,0.0,0.0,0.6353838,0.0,2.2013528,0.0,0.0,1.2198048,0.0,0.013521586,0.0,0.0,0.0,0.49311203,0.0,0.0
1999-12,50.4,0.9279569892473118,8.946236559139784,51.3,51.5,52.6,53.6,56.8,52.1,3.3730158730158792,0.0,0.0,0.32666543,0.0,1.6770984,0.0,0.0,1.0008444,0.0,0.17299965,0.0,0.0,0.0,0.74035937,0.0,0.0
2000-01,52.1,1.3419354838709676,5.549462365591398,50.4,51.3,51.5,51.4,57.1,52.2,0.1919385796545132,0.0,0.0,0.0,0.0,0.9782588,0.0,0.0,0.70355946,0.0,0.37109917,0.0,0.0,0.0,1.0092511,0.06860212,0.0
2000-02,52.2,2.013793103448276,9.227586206896552,52.1,50.4,51.3,53.0,54.9,51.7,-0.9578544061302682,0.0,0.0,0.0,0.0,0.6097705,0.0,0.0,0.5461012,0.0,0.46376097,0.0,0.0,0.0,1.1173418,0.11532728,0.0
2000-03,51.7,1.0666666666666669,14.979569892473116,52.2,52.1,50.4,52.6,55.2,51.8,0.1934235976789058,0.0,0.0,0.0,0.0,0.34188718,0.0,0.0,0.44551903,0.0,0.5433685,0.0,0.0,0.0,1.1711186,0.13660243,0.035954632
2000-04,51.8,1.3922222222222222,23.816666666666663,51.7,52.2,52.1,51.5,53.7,52.8,1.9305019305019304,0.0,0.0,0.0,0.0,0.21517149,0.0,0.0,0.4058961,0.0036143921,0.5851283,0.0,0.0,0.0,1.1742262,0.13259885,0.08958765
