lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15,date,target_next_price
0.0,0.0,0.0,0.0,0.8091182,0.0,0.0,0.66498935,0.0,0.43161067,0.0,0.0,0.0,0.9010189,0.0,0.0,1995-07,-1.8918918918919
0.0,0.0,0.48578697,0.0,1.8129988,0.0,0.0,1.0429169,0.0,0.118915856,0.0,0.0,0.0,0.511707,0.0,0.0,1995-08,4.545454545454562
0.0,0.0,0.978892,0.0,2.7122772,0.0,0.0,1.3821672,0.0,0.0,0.0,0.0,0.0,0.15827549,0.0,0.0,1995-09,5.665349143610008
0.0,0.0,0.966822,0.0,2.796828,0.0,0.0,1.4457152,0.0,0.0,0.0,0.0,0.0,0.19411734,0.0,0.0,1995-10,0.3740648379052333
0.0,0.0,0.6340267,0.0,2.2777803,0.0,0.0,1.2626996,0.0,0.03563523,0.0,0.0,0.0,0.4700107,0.0,0.0,1995-11,2.732919254658389
0.0,0.0,0.1992988,0.0,1.5356768,0.0,0.0,0.9519551,0.0,0.26455355,0.0,0.0,0.0,0.7978219,0.013704553,0.0,1995-12,0.7255139056831853
0.0,0.0,0.0,0.0,0.8572515,0.0,0.0,0.65677446,0.0,0.43791482,0.0,0.0,0.0,1.0390612,0.096453406,0.0,1996-01,2.8811524609844006
0.0,0.0,0.0,0.0,0.39124566,0.0,0.0,0.46411887,0.0,0.5512123,0.0,0.0,0.0,1.160274,0.14589673,0.041271023,1996-02,1.400233372228708
0.0,0.0,0.0,0.0,0.15004869,0.0,0.0,0.37515643,0.0,0.61194533,0.0,0.0,0.0,1.188021,0.15768072,0.13563174,1996-03,9.666283084004592
0.0,0.0,0.0,0.0,0.019984867,0.0,0.0,0.33394477,0.04425708,0.6458252,0.0,0.0,0.0,1.1713449,0.14737085,0.18663353,1996-04,4.93179433368311
