transformer_feat_0,transformer_feat_1,transformer_feat_2,transformer_feat_3,transformer_feat_4,transformer_feat_5,transformer_feat_6,transformer_feat_7,transformer_feat_8,transformer_feat_9,transformer_feat_10,transformer_feat_11,transformer_feat_12,transformer_feat_13,transformer_feat_14,transformer_feat_15,date,target_pct_change
0.0,0.0,0.5777731,0.34825623,0.0,0.0,0.0,0.0,0.5869894,0.0,0.0,0.0,0.86467654,0.0,0.0,0.0,2005-03,-3.252032520325204
0.0,0.0,0.5805907,0.34591904,0.0,0.0,0.0,0.0,0.5862949,0.0,0.0,0.0,0.86843264,0.0,0.0,0.0,2005-04,-0.1680672268907587
0.0,0.0,0.5806241,0.3457742,0.0,0.0,0.0,0.0,0.5861955,0.0,0.0,0.0,0.8684638,0.0,0.0,0.0,2005-05,1.346801346801354
0.0,0.0,0.5775996,0.33664006,0.0,0.0,0.0,0.0,0.57788444,0.0,0.0,0.0,0.86310226,0.0,0.0,0.0,2005-06,1.661129568106312
0.0,0.0,0.5731344,0.34546587,0.0,0.0,0.0,0.0,0.58296937,0.0,0.0,0.0,0.8577347,0.0,0.0,0.0,2005-07,-0.4901960784313794
0.0,0.0,0.5721422,0.34763533,0.0,0.0,0.0,0.0,0.5842613,0.0,0.0,0.0,0.8565656,0.0,0.0,0.0,2005-08,0.9852216748768498
0.0,0.0,0.5741912,0.34699103,0.0,0.0,0.0,0.0,0.58457714,0.0,0.0,0.0,0.8594178,0.0,0.0,0.0,2005-09,0.9756097560975632
0.0,0.0,0.5797049,0.34286052,0.0,0.0,0.0,0.0,0.5835626,0.0,0.0,0.0,0.86681867,0.0,0.0,0.0,2005-10,-2.415458937198068
0.0,0.0,0.57616943,0.3412881,0.0,0.0,0.0,0.0,0.58092976,0.0,0.0,0.0,0.861591,0.0,0.0,0.0,2005-11,1.485148514851483
0.0,0.0,0.57982385,0.33998364,0.0,0.0,0.0,0.0,0.5813722,0.0,0.0,0.0,0.86666,0.0,0.0,0.0,2005-12,1.9512195121951263
0.0,0.0,0.5776698,0.33796686,0.0,0.0,0.0,0.0,0.5789445,0.0,0.0,0.0,0.86335397,0.0,0.0,0.0,2006-01,3.349282296650709
0.0,0.0,0.57822603,0.34744242,0.0,0.0,0.0,0.0,0.586537,0.0,0.0,0.0,0.8652302,0.0,0.0,0.0,2006-02,-1.3888888888888866
0.0,0.0,0.5788021,0.36248648,0.0,0.0,0.0,0.0,0.59846884,0.0,0.0,0.0,0.8677707,0.0,0.0,0.0,2006-03,1.8779342723004628
0.0,0.0,0.58209056,0.35573748,0.0,0.0,0.0,0.0,0.59453017,0.0,0.0,0.0,0.8716953,0.0,0.0,0.0,2006-04,4.147465437788023
0.0,0.0,0.58718556,0.3474642,0.0,0.0,0.0,0.0,0.59012634,0.0,0.0,0.0,0.8780254,0.0,0.0,0.0,2006-05,0.0
0.0,0.0,0.58939254,0.34384114,0.0,0.0,0.0,0.0,0.58818805,0.0,0.0,0.0,0.8807628,0.0,0.0,0.0,2006-06,3.097345132743376
0.0,0.0,0.59406453,0.3368979,0.0,0.0,0.0,0.0,0.58465,0.0,0.0,0.0,0.8866408,0.0,0.0,0.0,2006-07,-0.4291845493562394
0.0,0.0,0.5928712,0.3366608,0.0,0.0,0.0,0.0,0.58398974,0.0,0.0,0.0,0.8849098,0.0,0.0,0.0,2006-08,4.166666666666676
0.0,0.0,0.5963447,0.33884436,0.0,0.0,0.0,0.0,0.5870732,0.0,0.0,0.0,0.89011866,0.0,0.0,0.0,2006-09,10.206896551724146
0.0,0.0,0.59715945,0.33732048,0.0,0.0,0.0,0.0,0.5862127,0.0,0.0,0.0,0.891108,0.0,0.0,0.0,2006-10,6.758448060075082
0.0,0.0,0.60691947,0.33090785,0.0,0.0,0.0,0.0,0.5851162,0.0,0.0,0.0,0.9043115,0.0,0.0,0.0,2006-11,0.1172332942555785
0.0,0.0,0.6145814,0.31540012,0.0,0.0,0.0,0.0,0.57610834,0.0,0.0,0.0,0.9134806,0.0,0.0,0.0,2006-12,-0.3512880562061022
0.0,0.0,0.6175227,0.32045776,0.0,0.0,0.0,0.0,0.5812152,0.0,0.0,0.0,0.9182576,0.0,0.0,0.0,2007-01,2.232667450058761
0.0,0.0,0.62855524,0.3086127,0.0,0.0,0.0,0.0,0.57640034,0.0,0.0,0.0,0.9326576,0.0,0.0,0.0,2007-02,-0.6896551724137866
0.0,0.0,0.62992656,0.26549962,0.0,0.0,0.0,0.0,0.54341125,0.0,0.0,0.0,0.9296926,0.0,0.0,0.0,2007-03,-1.5046296296296426
0.0,0.0,0.6379325,0.2317383,0.0,0.0,0.0,0.0,0.5203419,0.0,0.0,0.0,0.9372685,0.0,0.0,0.0,2007-04,1.762632197414806
0.0,0.0,0.6427863,0.20042431,0.0,0.0,0.0,0.0,0.49791938,0.0,0.0,0.0,0.9406232,0.0,0.0,0.0,2007-05,6.120092378752901
0.0,0.0,0.631018,0.18509626,0.0,0.0,0.0,0.0,0.48130396,0.0,0.0,0.0,0.92206985,0.0,0.0,0.0,2007-06,3.2644178454842216
0.0,0.0,0.6459153,0.18076172,0.0,0.0,0.0,0.0,0.4838722,0.0,0.0,0.0,0.9428456,0.0,0.0,0.0,2007-07,7.586933614330863
0.0,0.0,0.6465848,0.15489978,0.0,0.0,0.0,0.0,0.46402225,0.0,0.0,0.0,0.94084847,0.0,0.0,0.0,2007-08,14.789422135161615
0.0,0.0,0.65865237,0.1321136,0.0,0.0,0.0,0.0,0.45110947,0.0,0.0,0.0,0.95547694,0.0,0.0,0.0,2007-09,3.4982935153583568
0.0,0.0,0.654306,0.0927157,0.0,0.0,0.0,0.0,0.41873044,0.0,0.0,0.0,0.94477224,0.0,0.0,0.0,2007-10,-0.2473206924979366
0.0,0.0,0.6526322,0.06513182,0.0,0.0,0.0,0.0,0.3966067,0.0,0.0,0.0,0.9392325,0.0,0.0,0.0,2007-11,9.256198347107429
0.0,0.0,0.6616984,0.024846204,0.010642005,0.0,0.0,0.0,0.36888507,0.0,0.0,0.0,0.94757736,0.0,0.0,0.0,2007-12,6.6565809379727785
0.0,0.0,0.59670174,0.0,0.12117104,0.0,0.012134839,0.0,0.27445424,0.011951193,0.009910911,0.069377825,0.84471565,0.0,0.0,0.09712303,2008-01,14.042553191489372
0.0,0.0,0.4974684,0.0,0.21800902,0.0,0.1274223,0.0,0.17012951,0.11045714,0.08664143,0.14108692,0.69352156,0.0,0.0,0.21967451,2008-02,1.5547263681592038
0.0,0.0,0.4221763,0.0,0.29316714,0.0,0.2163747,0.0,0.09004152,0.18631162,0.14562647,0.19670151,0.5786679,0.0,0.0,0.31459194,2008-03,-0.36742192284141
0.0,0.09248245,0.37111384,0.0,0.38744244,0.0,0.314755,0.0,0.011731446,0.26641715,0.20534933,0.2654445,0.49725255,0.0,0.0,0.42868367,2008-04,-3.257529194837113
0.0,0.21859881,0.3054446,0.0,0.48378646,0.0,0.41939703,0.0,0.0,0.35295713,0.27081746,0.3360124,0.39457342,0.0,0.0,0.5468237,2008-05,1.842439644218555
0.004398033,0.3144101,0.27782106,0.0,0.5853754,0.0,0.51707333,0.0,0.0,0.42977545,0.32616317,0.40944555,0.34641472,0.0,0.0,0.6666281,2008-06,-7.548346849656908
0.114965014,0.44841397,0.20456845,0.0,0.6833114,0.0,0.62542146,0.0,0.0,0.5199988,0.3948501,0.4813318,0.23265369,0.0,0.0,0.7874645,2008-07,-7.894736842105256
0.1923069,0.5430845,0.15394127,0.0,0.7539344,0.0,0.7028846,0.0,0.0,0.5842985,0.4436589,0.53311855,0.15379113,0.0,0.0,0.8743497,2008-08,-8.205128205128208
